ArtistName,AlbumName,TrackName
Arctic Monkeys,Favourite Worst Nightmare,505
Arctic Monkeys,Favourite Worst Nightmare,Balaclava
Arctic Monkeys,Favourite Worst Nightmare,Brianstorm
Arctic Monkeys,Favourite Worst Nightmare,D Is For Dangerous
Arctic Monkeys,Favourite Worst Nightmare,Do Me A Favour
Arctic Monkeys,Favourite Worst Nightmare,Fluorescent Adolescent
Arctic Monkeys,Favourite Worst Nightmare,If You Were There Beware
Arctic Monkeys,Favourite Worst Nightmare,Old Yellow Bricks
Arctic Monkeys,Favourite Worst Nightmare,Only Ones Who Know
Arctic Monkeys,Favourite Worst Nightmare,Teddy Picker
Arctic Monkeys,Favourite Worst Nightmare,The Bad Thing
Arctic Monkeys,Favourite Worst Nightmare,This House Is a Circus
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,A Certain Romance
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Dancing Shoes
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Fake Tales Of San Francisco
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,From The Ritz To The Rubble
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,I Bet You Look Good On The Dancefloor
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Mardy Bum
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Perhaps Vampires Is A Bit Strong But..
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Red Light Indicates Doors Are Secured
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Riot Van
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,Still Take You Home
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,The View From The Afternoon
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,When The Sun Goes Down
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,You Probably Couldn't See For The Lights But You Were Looking Straight At Me
Blink 182,Dude Ranch,A New Hope
Blink 182,Dude Ranch,Apple Shampoo
Blink 182,Dude Ranch,Boring
Blink 182,Dude Ranch,Dammit
Blink 182,Dude Ranch,Degenerate
Blink 182,Dude Ranch,Dick Lips
Blink 182,Dude Ranch,Emo
Blink 182,Dude Ranch,Enthused
Blink 182,Dude Ranch,I'm Sorry/Dog Lapping
Blink 182,Dude Ranch,Josie
Blink 182,Dude Ranch,Lemmings
Blink 182,Dude Ranch,Pathetic
Blink 182,Dude Ranch,Voyeur
Blink 182,Dude Ranch,Waggy
Blink 182,Enema Of The State,Adam's Song
Blink 182,Enema Of The State,Aliens Exist
Blink 182,Enema Of The State,All The Small Things
Blink 182,Enema Of The State,Anthem
Blink 182,Enema Of The State,Don't Leave Me
Blink 182,Enema Of The State,Dumpweed
Blink 182,Enema Of The State,Dysentery Gary
Blink 182,Enema Of The State,Enema Of The State
Blink 182,Enema Of The State,Going Away To College
Blink 182,Enema Of The State,Mutt
Blink 182,Enema Of The State,The Party Song
Blink 182,Enema Of The State,Wendy Clear
Blink 182,Enema Of The State,What's My Age Again
Blink 182,Take Off Your Pants And Jacket,Anthem Part Two
Blink 182,Take Off Your Pants And Jacket,Every Time I Look For You
Blink 182,Take Off Your Pants And Jacket,First Date
Blink 182,Take Off Your Pants And Jacket,Give Me One Good Reason
Blink 182,Take Off Your Pants And Jacket,Happy Holidays You Bastard
Blink 182,Take Off Your Pants And Jacket,Man Overboard
Blink 182,Take Off Your Pants And Jacket,Online Songs
Blink 182,Take Off Your Pants And Jacket,Please Take Me Home
Blink 182,Take Off Your Pants And Jacket,Reckless Abandon
Blink 182,Take Off Your Pants And Jacket,Roller Coaster
Blink 182,Take Off Your Pants And Jacket,Shut Up
Blink 182,Take Off Your Pants And Jacket,Stay Together For The Kids
Blink 182,Take Off Your Pants And Jacket,Story Of A Lonely Guy
Blink 182,Take Off Your Pants And Jacket,The Rock Show
Blink 182,Take Off Your Pants And Jacket,Time To Break Up
Bloc Party,Silent Alarm,Banquet
Bloc Party,Silent Alarm,Blue Light
Bloc Party,Silent Alarm,Compliments
Bloc Party,Silent Alarm,Helicopter
